open;high;low;close;volume;marketCap;timestamp
139.646094554;139.976439288;136.579610916;138.08968196;3791292838.93;14502464167.2811;"2019-02-26T00:00:00.000Z"
136.836239742;138.995272525;136.434789591;136.443622783;3756124823.75;14335957424.6309;"2019-03-01T00:00:00.000Z"
134.78612266;135.849285216;131.328863606;132.249417118;3454374052.6;13900679027.0155;"2019-03-03T00:00:00.000Z"
137.958743981;139.968818612;136.145922155;138.789354083;4589054218.52;14590867639.43;"2019-03-06T00:00:00.000Z"
134.887551913;139.119409871;134.677118919;137.965335551;5011918715.08;14509873018.1563;"2019-03-09T00:00:00.000Z"
134.012840654;135.273465954;130.94414973;134.442888733;4709987999.7;14144929391.8688;"2019-03-12T00:00:00.000Z"
133.567152422;138.395137565;133.567152422;137.691783786;4506861856.05;14492364550.8005;"2019-03-15T00:00:00.000Z"
140.104859119;142.267216974;138.841560382;139.374600609;4551739878.98;14675181093.7188;"2019-03-18T00:00:00.000Z"
140.47848688;141.003232324;135.855428692;136.636060704;5087247796.46;14392427839.4474;"2019-03-21T00:00:00.000Z"
138.315351714;138.375607693;136.313755574;136.986925231;4266845458.42;14434995336.8381;"2019-03-24T00:00:00.000Z"
135.454367401;141.075474613;135.341664155;140.988157542;5228240092.74;14862394450.5514;"2019-03-27T00:00:00.000Z"
142.359143736;149.613229156;141.031743756;142.092680619;5144662126.51;14984615423.234;"2019-03-30T00:00:00.000Z"
141.839521388;165.226827203;141.636455251;163.961741819;9826645698.15;17297572364.584;"2019-04-02T00:00:00.000Z"
158.020007672;167.220383976;157.443949117;165.514845948;7531316908.11;17468192986.1115;"2019-04-05T00:00:00.000Z"
174.449669098;184.377848837;174.160989445;180.258815391;9304964609.75;19031640376.2705;"2019-04-08T00:00:00.000Z"
176.067842046;183.13427354;175.230372034;177.337476528;7856924878.74;18728058766.8129;"2019-04-10T00:00:00.000Z"
164.622854706;166.362425577;163.011851264;164.513349875;4959301561.23;17380468168.9383;"2019-04-13T00:00:00.000Z"
161.526550135;167.666325715;160.888753899;167.623441183;5180105341.4;17715913572.0781;"2019-04-16T00:00:00.000Z"
173.787881523;173.978901964;170.620215358;173.708441176;6541053060.76;18366130179.5121;"2019-04-19T00:00:00.000Z"
170.017484048;173.069116345;168.729556071;171.874669558;6094878077.1;18179292262.6536;"2019-04-22T00:00:00.000Z"
165.914741225;166.513414699;153.846998343;154.459399951;6820332362.11;16343573972.6015;"2019-04-25T00:00:00.000Z"
158.499766659;159.565381071;157.125513534;157.29507397;5379894433.33;16650076836.9297;"2019-04-28T00:00:00.000Z"
162.186560067;164.0606879;159.660224302;160.818344256;5789172432.9;17029616915.1798;"2019-05-01T00:00:00.000Z"
167.887214645;170.645927759;161.79142846;164.026580539;6658100048.67;17376070197.628;"2019-05-04T00:00:00.000Z"
172.427274512;180.394408014;169.694712036;169.798657365;8411140169.71;17994460618.5493;"2019-05-07T00:00:00.000Z"
170.312978814;175.885268508;168.99141785;173.142739021;8036919052.86;18355936406.3344;"2019-05-10T00:00:00.000Z"
187.417924062;205.098262177;185.305909305;196.846276938;10367149038.86;20876934045.1233;"2019-05-13T00:00:00.000Z"
246.941949724;275.394433117;245.795286216;264.010023118;18661465872.83;28010958252.9023;"2019-05-16T00:00:00.000Z"
243.911300406;246.362770419;233.099846277;234.595229584;10933142646.38;24896520187.1655;"2019-05-18T00:00:00.000Z"
251.647840439;262.107533176;248.196304872;255.215875873;11545049593.48;27095257004.1212;"2019-05-21T00:00:00.000Z"
245.98708954;255.259330606;243.240097916;249.484984964;9929433205.98;26497014858.4764;"2019-05-24T00:00:00.000Z"
267.141883996;278.50725112;265.444697967;272.86264362;12074664735.62;28991071395.5429;"2019-05-27T00:00:00.000Z"
269.551887205;287.201638845;247.348602483;255.858948474;13604268584.36;27194892740.7185;"2019-05-30T00:00:00.000Z"
265.512718653;272.80722404;265.041884517;270.225527951;8744111713.27;28732949884.7457;"2019-06-02T00:00:00.000Z"
241.497038946;248.138131717;239.983459122;247.051016639;8548917061.98;26278874480.4874;"2019-06-05T00:00:00.000Z"
251.249319783;252.377389835;243.229106707;245.738091433;7225996863.2;26149221978.7501;"2019-06-08T00:00:00.000Z"
247.862122482;248.66257562;239.82534228;245.781827855;7382269700.39;26163906568.7401;"2019-06-11T00:00:00.000Z"
256.17965445;265.371384942;254.147424413;264.08745783;8676891266.98;28123338884.4728;"2019-06-14T00:00:00.000Z"
269.090588251;275.442558933;268.353783051;274.35111507;6009795781.12;29227567867.3796;"2019-06-17T00:00:00.000Z"
269.407865566;274.073530845;265.500447699;271.695017157;6408981097.05;28955655289.9731;"2019-06-20T00:00:00.000Z"
295.115068002;315.189720232;294.728230478;309.380305299;10613731254.57;32980338717.0479;"2019-06-22T00:00:00.000Z"
310.678630878;318.126310017;307.6431542;318.126310017;9641764965.19;33925712999.8582;"2019-06-25T00:00:00.000Z"
294.143042748;313.031556623;292.939821505;311.226103335;11514656819.55;33202586959.5675;"2019-06-28T00:00:00.000Z"
290.268491537;301.026159242;280.022842134;293.641117329;10292223947.84;31338571563.3304;"2019-07-01T00:00:00.000Z"
303.025091693;303.961160973;282.765732172;284.523211373;8403513105.73;30377082393.6103;"2019-07-04T00:00:00.000Z"
287.603611931;310.139320067;286.109200184;305.700559688;8119724980.55;32650611905.7219;"2019-07-07T00:00:00.000Z"
308.851274005;313.069444817;285.565783197;290.002318276;11679985166.52;30985827113.2954;"2019-07-10T00:00:00.000Z"
276.28911624;276.685236276;263.068267434;269.458810608;6716829429.13;28801816022.8443;"2019-07-13T00:00:00.000Z"
229.748659122;234.513836069;197.377894986;199.188675302;9036620493.51;21298941498.7518;"2019-07-16T00:00:00.000Z"
226.657696807;226.940481758;215.838243218;221.333421321;7606433130.73;23675884534.2591;"2019-07-19T00:00:00.000Z"
225.698652681;226.862576632;213.448377793;217.560020158;6338843918.85;23281138562.9913;"2019-07-22T00:00:00.000Z"
216.969117163;224.254197764;216.135148152;219.61799494;6731281160.3;23510336984.4543;"2019-07-25T00:00:00.000Z"
207.413777385;212.041834412;202.252898795;211.186552032;5504887933.63;22616386468.2393;"2019-07-28T00:00:00.000Z"
211.339197095;213.614075143;206.867612782;210.522603615;5489918858.84;22551013736.1935;"2019-07-30T00:00:00.000Z"
217.884463629;222.182571308;215.975823263;217.871561739;6159440229.49;23347127326.7587;"2019-08-02T00:00:00.000Z"
